regional_indicator,embedding_x,embedding_y
South Asia,15.909232,53.676826
South Asia,18.953949,52.189075
South Asia,28.777714,40.75564
South Asia,27.623772,40.59132
South Asia,45.440502,5.500181
South Asia,28.90155,40.16237
South Asia,14.844412,54.55221
South Asia,14.170877,55.249187
South Asia,14.664915,54.166195
South Asia,14.604969,56.013012
South Asia,14.5836115,56.04555
South Asia,14.642385,56.071323
Central and Eastern Europe,-20.139677,-26.498259
Central and Eastern Europe,18.6983,-37.236843
Central and Eastern Europe,37.718185,-17.921173
Central and Eastern Europe,18.230553,-37.182346
Central and Eastern Europe,20.684444,-33.66002
Central and Eastern Europe,18.699114,-35.59026
Central and Eastern Europe,-21.257795,-25.543865
Central and Eastern Europe,16.554876,-39.251453
Central and Eastern Europe,-29.77893,-47.66022
Central and Eastern Europe,14.451904,-38.842865
Central and Eastern Europe,-37.82043,-18.528402
Central and Eastern Europe,-4.330773,-51.729782
Central and Eastern Europe,-29.04507,-46.838417
Middle East and North Africa,17.718725,-14.199643
Middle East and North Africa,39.12009,-16.89857
Middle East and North Africa,38.978355,-16.186039
Middle East and North Africa,-21.64553,-34.17789
Middle East and North Africa,-22.359646,-33.675278
Middle East and North Africa,37.57089,-17.536383
Middle East and North Africa,37.752182,-17.388758
Middle East and North Africa,-19.143524,-31.738138
Latin America and Caribbean,0.19989744,-5.020215
Latin America and Caribbean,-0.93284315,-9.713886
Latin America and Caribbean,-0.9621156,-9.730839
Latin America and Caribbean,-2.0741594,-9.332473
Latin America and Caribbean,0.8484216,-5.2603145
Latin America and Caribbean,5.0477195,-2.7179897
Latin America and Caribbean,6.780758,-1.4180926
Latin America and Caribbean,6.7525616,-1.4127235
Latin America and Caribbean,0.5968371,-5.1688538
Latin America and Caribbean,-1.9744514,-3.6685464
Latin America and Caribbean,-1.6998545,-3.6684556
Latin America and Caribbean,-0.9584405,-1.0423135
Latin America and Caribbean,-1.7035455,-3.6507473
Latin America and Caribbean,4.1939716,-2.3284566
Latin America and Caribbean,3.3084214,-3.126128
Commonwealth of Independent States,21.580294,-34.23707
Commonwealth of Independent States,39.122536,-19.0226
Commonwealth of Independent States,18.978373,-37.848534
Commonwealth of Independent States,18.598085,-38.628975
Commonwealth of Independent States,16.737146,-41.12546
Commonwealth of Independent States,19.007624,-37.95319
Commonwealth of Independent States,6.6391573,-58.010315
Commonwealth of Independent States,5.718978,-56.720745
Commonwealth of Independent States,5.056938,-54.02997
Commonwealth of Independent States,5.2868276,-56.083527
Commonwealth of Independent States,4.971168,-54.01251
Commonwealth of Independent States,17.34965,-37.89081
Commonwealth of Independent States,33.55193,-21.373371
Commonwealth of Independent States,25.663054,-20.799809
North America and ANZ,-27.83743,29.880978
North America and ANZ,-18.092503,37.441273
North America and ANZ,-16.588491,37.49832
North America and ANZ,-16.51774,37.66882
North America and ANZ,-16.494827,38.53853
North America and ANZ,-16.598873,38.852867
North America and ANZ,-16.45498,39.14377
North America and ANZ,-15.834155,39.68504
North America and ANZ,-15.278683,40.137
North America and ANZ,-11.644282,41.299698
North America and ANZ,-16.487162,46.591354
North America and ANZ,-15.688279,47.664917
North America and ANZ,-15.663814,48.470028
North America and ANZ,-17.52855,45.613327
Western Europe,-13.588818,35.881893
Western Europe,-12.5404415,36.44682
Western Europe,-4.3838825,28.661606
Western Europe,-5.216364,27.99308
Western Europe,-5.3831167,28.390667
Western Europe,-5.216364,27.99308
Western Europe,-4.383888,28.661608
Western Europe,-3.0889907,28.879622
Western Europe,-2.7031631,29.98646
Western Europe,-3.2875745,38.83424
Western Europe,-5.8154683,38.765373
Western Europe,-13.40888,46.57998
Western Europe,-14.42008,47.45702
Commonwealth of Independent States,36.32848,-21.864079
Commonwealth of Independent States,18.748287,-37.02549
Commonwealth of Independent States,18.980558,-27.812447
Commonwealth of Independent States,27.732014,-27.949007
Commonwealth of Independent States,20.145178,-33.68858
Commonwealth of Independent States,27.50058,-28.343369
Commonwealth of Independent States,27.488062,-28.352211
Commonwealth of Independent States,27.23521,-27.688456
Commonwealth of Independent States,27.756048,-27.019323
Commonwealth of Independent States,28.645517,-25.383444
Commonwealth of Independent States,27.975641,-26.78944
Commonwealth of Independent States,27.856388,-26.726248
Commonwealth of Independent States,28.651552,-25.133892
Commonwealth of Independent States,27.235943,-21.210855
Middle East and North Africa,-41.406483,-9.354471
Middle East and North Africa,-25.884394,-38.308517
Middle East and North Africa,24.593435,-19.725258
Middle East and North Africa,-21.818575,-29.17978
Middle East and North Africa,-32.128475,-11.433476
Middle East and North Africa,-30.701107,-21.25802
Middle East and North Africa,-33.015648,-20.67248
Middle East and North Africa,-43.04604,-7.374096
Middle East and North Africa,-44.58106,-6.5757546
Middle East and North Africa,-41.838203,-9.30525
Middle East and North Africa,-44.297733,-6.634533
South Asia,42.943188,-5.2775464
South Asia,34.717068,-11.260975
South Asia,20.770061,-14.6143055
South Asia,40.1792,-14.517042
South Asia,-17.526638,-32.449047
South Asia,36.45044,-24.538784
South Asia,19.61677,-15.366448
South Asia,-18.11797,-32.08735
South Asia,18.404533,-14.447338
South Asia,36.694565,-23.314495
South Asia,35.79373,-24.657661
South Asia,-21.318207,-37.145836
South Asia,33.58979,-24.649729
South Asia,33.924503,-24.719107
South Asia,-21.83857,-35.714523
Commonwealth of Independent States,26.60851,-28.409895
Commonwealth of Independent States,27.278908,-27.579891
Commonwealth of Independent States,14.631191,-12.489391
Commonwealth of Independent States,26.589731,-27.522913
Commonwealth of Independent States,26.12401,-26.761908
Commonwealth of Independent States,25.536953,-27.861229
Commonwealth of Independent States,26.083193,-26.810293
Commonwealth of Independent States,26.042862,-26.738544
Commonwealth of Independent States,21.112808,-27.698032
Commonwealth of Independent States,25.942118,-26.48183
Commonwealth of Independent States,25.901983,-26.567463
Commonwealth of Independent States,25.475475,-27.517233
Commonwealth of Independent States,25.744854,-27.745024
Commonwealth of Independent States,25.77278,-26.34668
Western Europe,-43.93687,-10.706756
Western Europe,-48.555996,6.2496767
Western Europe,-19.243792,31.098396
Western Europe,-21.966139,30.999893
Western Europe,-21.76265,30.889183
Western Europe,-21.886164,30.933186
Western Europe,-21.913223,30.939205
Western Europe,-21.379646,30.50182
Western Europe,-3.7523592,26.710377
Western Europe,-3.674305,28.806192
Western Europe,-3.559613,28.428627
Western Europe,-3.54853,28.428146
Western Europe,-3.0198088,29.162777
Western Europe,-23.70812,32.274624
Sub-Saharan Africa,26.107689,37.527107
Sub-Saharan Africa,18.581015,52.674305
Sub-Saharan Africa,29.92645,40.623962
Sub-Saharan Africa,18.40293,52.738564
Sub-Saharan Africa,32.327038,38.927208
Sub-Saharan Africa,26.326275,37.716534
Sub-Saharan Africa,26.752882,38.12214
Sub-Saharan Africa,28.55143,39.10059
Sub-Saharan Africa,29.002087,39.746532
Sub-Saharan Africa,30.845646,41.777912
Sub-Saharan Africa,29.874317,39.97025
Sub-Saharan Africa,28.561565,39.088295
Latin America and Caribbean,42.331955,-3.1914485
Latin America and Caribbean,33.320515,-9.589061
Latin America and Caribbean,9.727172,7.319731
Latin America and Caribbean,6.744126,2.254417
Latin America and Caribbean,10.191561,6.331182
Latin America and Caribbean,6.8193393,2.2303283
Latin America and Caribbean,-28.444706,-2.1955225
Latin America and Caribbean,-0.06680047,6.6568847
Latin America and Caribbean,-34.948124,-6.510029
Latin America and Caribbean,-7.416064,1.4844873
Latin America and Caribbean,-1.416341,4.9796124
Latin America and Caribbean,32.016552,-20.635815
Latin America and Caribbean,11.473093,-10.167375
Latin America and Caribbean,1.0419384,4.2267857
Latin America and Caribbean,0.76670265,-9.683433
Central and Eastern Europe,-29.110111,-50.09291
Central and Eastern Europe,-30.683432,-50.877186
Central and Eastern Europe,4.6308184,-53.644733
Central and Eastern Europe,-4.9044695,-56.36256
Central and Eastern Europe,-30.15658,-49.738018
Central and Eastern Europe,-29.9706,-49.76169
Central and Eastern Europe,-29.433279,-49.823307
Central and Eastern Europe,2.4648094,-60.168995
Central and Eastern Europe,-29.204617,-47.898865
Central and Eastern Europe,-29.56134,-49.26337
Central and Eastern Europe,-28.602518,-47.872208
Central and Eastern Europe,-28.68956,-47.738205
Central and Eastern Europe,-29.366343,-47.442722
Sub-Saharan Africa,58.96856,10.450915
Sub-Saharan Africa,57.567554,9.174894
Sub-Saharan Africa,56.550777,10.707731
Sub-Saharan Africa,54.730423,12.116638
Sub-Saharan Africa,54.666763,11.557603
Sub-Saharan Africa,54.41277,10.94272
Sub-Saharan Africa,51.087982,10.318718
Sub-Saharan Africa,48.0266,9.568239
Sub-Saharan Africa,45.29052,9.434959
Sub-Saharan Africa,42.64132,8.931699
Sub-Saharan Africa,41.970234,-3.3090482
Sub-Saharan Africa,37.50071,-10.014448
Latin America and Caribbean,-35.411045,-7.271332
Latin America and Caribbean,-31.64594,-10.264725
Latin America and Caribbean,3.8648112,-1.6946726
Latin America and Caribbean,3.7723455,-0.937791
Latin America and Caribbean,2.9329474,-0.85487956
Latin America and Caribbean,-2.5421522,-2.6065588
Latin America and Caribbean,-35.175274,-8.145134
Latin America and Caribbean,4.075251,-2.1411135
Latin America and Caribbean,7.133965,-1.5648202
Latin America and Caribbean,-31.444288,-11.874969
Latin America and Caribbean,3.204206,-3.1344376
Latin America and Caribbean,13.75382,-12.045943
Latin America and Caribbean,10.345598,-7.2957816
Latin America and Caribbean,-4.096941,-1.5742213
Latin America and Caribbean,24.183928,-19.74593
Central and Eastern Europe,1.5772613,-56.912777
Central and Eastern Europe,1.5950729,-56.592915
Central and Eastern Europe,1.0418085,-56.29927
Central and Eastern Europe,1.3542572,-55.9175
Central and Eastern Europe,1.031066,-55.784477
Central and Eastern Europe,0.95573044,-55.621292
Central and Eastern Europe,0.33726245,-55.293934
Central and Eastern Europe,0.1269582,-55.303684
Central and Eastern Europe,-1.6193014,-53.344215
Central and Eastern Europe,-0.2781112,-54.921864
Central and Eastern Europe,-4.300751,-51.667313
Central and Eastern Europe,-30.421816,-41.819942
Sub-Saharan Africa,41.70724,35.582615
Sub-Saharan Africa,42.116673,34.617653
Sub-Saharan Africa,15.352928,53.099194
Sub-Saharan Africa,25.984648,35.23222
Sub-Saharan Africa,18.018312,51.861103
Sub-Saharan Africa,15.266256,52.064243
Sub-Saharan Africa,38.90426,25.801163
Sub-Saharan Africa,35.99609,28.117983
Sub-Saharan Africa,18.042873,51.916306
Sub-Saharan Africa,35.911816,28.057068
