regional_indicator,embedding_x,embedding_y
South Asia,-20.871262,16.181059
South Asia,-26.921316,51.04104
South Asia,-39.414387,20.82548
South Asia,1.3973202,-33.08376
South Asia,-37.242218,-41.547264
South Asia,29.698397,43.6929
South Asia,-1.7462643,-66.019485
South Asia,11.413113,21.80599
South Asia,-65.67812,-3.1550326
South Asia,3.017351,55.800106
South Asia,33.465252,-40.81434
South Asia,7.364425,-5.0881853
Central and Eastern Europe,-26.012346,-14.797166
Central and Eastern Europe,-23.76196,48.768585
Central and Eastern Europe,-41.101246,23.711288
Central and Eastern Europe,2.6017053,-27.696018
Central and Eastern Europe,-31.776579,-37.489914
Central and Eastern Europe,32.855423,38.652195
Central and Eastern Europe,-0.2768868,-61.135017
Central and Eastern Europe,7.021764,20.25032
Central and Eastern Europe,-61.165607,-5.026657
Central and Eastern Europe,1.3749079,52.02734
Central and Eastern Europe,33.01382,-33.87933
Central and Eastern Europe,14.238944,-3.2636166
Central and Eastern Europe,64.94648,-6.1444354
Middle East and North Africa,-42.475273,23.224787
Middle East and North Africa,2.4018767,-28.598843
Middle East and North Africa,-31.867998,-38.162903
Middle East and North Africa,1.2569835,-59.14836
Middle East and North Africa,-60.383396,-4.8286366
Middle East and North Africa,-1.3643885,53.221115
Middle East and North Africa,29.310247,-34.392704
Middle East and North Africa,13.793523,-1.7474383
Latin America and Caribbean,41.373356,10.420624
Latin America and Caribbean,-22.957638,-11.665503
Latin America and Caribbean,-17.70098,9.434346
Latin America and Caribbean,-27.287058,44.454933
Latin America and Caribbean,-46.29659,23.499308
Latin America and Caribbean,-3.5533614,-24.58044
Latin America and Caribbean,-28.118683,-42.01896
Latin America and Caribbean,29.88809,34.76248
Latin America and Caribbean,3.4396784,-58.1334
Latin America and Caribbean,4.343599,14.273677
Latin America and Caribbean,-56.408394,-1.9364678
Latin America and Caribbean,-0.050697505,47.373222
Latin America and Caribbean,32.97372,-30.900484
Latin America and Caribbean,17.190823,-6.3469973
Latin America and Caribbean,63.72559,-7.9608836
Commonwealth of Independent States,36.912567,9.861866
Commonwealth of Independent States,-25.83027,-14.1019125
Commonwealth of Independent States,-16.249857,13.978056
Commonwealth of Independent States,-23.121017,50.464943
Commonwealth of Independent States,-39.43227,24.371128
Commonwealth of Independent States,3.7370772,-28.899061
Commonwealth of Independent States,-32.756393,-35.53889
Commonwealth of Independent States,34.258305,39.308582
Commonwealth of Independent States,-2.1475627,-61.05274
Commonwealth of Independent States,6.5772076,21.280035
Commonwealth of Independent States,-61.384445,-6.181471
Commonwealth of Independent States,0.5921785,53.382557
Commonwealth of Independent States,30.356611,-35.634888
Commonwealth of Independent States,13.841198,-5.6382127
North America and ANZ,50.287548,15.136077
North America and ANZ,-20.123987,-9.568433
North America and ANZ,-17.855352,5.155494
North America and ANZ,-49.978592,24.49519
North America and ANZ,-5.025992,-21.255
North America and ANZ,-24.39936,-43.815983
North America and ANZ,28.975943,31.021582
North America and ANZ,7.3426766,-56.246998
North America and ANZ,0.48517638,11.795238
North America and ANZ,-51.30601,-2.0123057
North America and ANZ,-1.820106,42.505608
North America and ANZ,33.041557,-25.749647
North America and ANZ,22.8172,-5.9723387
North America and ANZ,60.014275,-11.78837
Western Europe,44.171135,11.271928
Western Europe,-18.084679,5.6846514
Western Europe,-49.11245,24.425747
Western Europe,-4.18894,-22.556898
Western Europe,-26.091476,-43.24469
Western Europe,29.422663,31.71463
Western Europe,6.454577,-56.274883
Western Europe,0.7579067,12.755446
Western Europe,-51.86501,-2.4201572
Western Europe,-1.9542567,43.10316
Western Europe,32.899143,-26.31232
Western Europe,22.612984,-6.063876
Western Europe,59.795788,-11.301685
Commonwealth of Independent States,38.183563,10.590181
Commonwealth of Independent States,-25.668755,-14.734833
Commonwealth of Independent States,-16.502565,12.889825
Commonwealth of Independent States,-23.661364,49.400513
Commonwealth of Independent States,-40.107414,24.390453
Commonwealth of Independent States,2.2984052,-28.573246
Commonwealth of Independent States,-32.262478,-37.362556
Commonwealth of Independent States,31.473684,38.224545
Commonwealth of Independent States,0.4444856,-59.747204
Commonwealth of Independent States,5.324701,18.523088
Commonwealth of Independent States,-60.12661,-3.752898
Commonwealth of Independent States,-1.4481336,50.610535
Commonwealth of Independent States,27.879345,-34.127052
Commonwealth of Independent States,20.048597,-8.929847
Middle East and North Africa,-25.273743,42.263226
Middle East and North Africa,-45.767925,25.913828
Middle East and North Africa,1.6458389,-24.891563
Middle East and North Africa,-28.759861,-37.244442
Middle East and North Africa,28.887684,32.74613
Middle East and North Africa,2.0237901,-57.158943
Middle East and North Africa,2.897493,14.6332855
Middle East and North Africa,-54.549286,-2.1895258
Middle East and North Africa,-0.5879918,45.082817
Middle East and North Africa,20.570246,-4.7279687
Middle East and North Africa,63.458725,-9.957744
South Asia,36.985897,7.4920077
South Asia,-28.743378,-12.532108
South Asia,-20.873611,14.796111
South Asia,-26.667103,50.921783
South Asia,-39.67581,21.093384
South Asia,-0.0056128106,-31.332884
South Asia,-35.461025,-40.61506
South Asia,29.383873,43.058647
South Asia,0.104310185,-63.92991
South Asia,9.630455,19.38559
South Asia,-61.74735,-2.6651874
South Asia,3.5066442,52.180027
South Asia,31.499388,-37.803936
South Asia,11.870411,-5.921318
South Asia,66.29548,-5.480483
Commonwealth of Independent States,38.80202,10.949857
Commonwealth of Independent States,-24.038551,-13.053904
Commonwealth of Independent States,-17.187447,10.1511345
Commonwealth of Independent States,-24.50875,47.399696
Commonwealth of Independent States,-42.978653,24.319159
Commonwealth of Independent States,0.6945509,-27.078104
Commonwealth of Independent States,-31.654285,-38.662434
Commonwealth of Independent States,31.059122,37.21336
Commonwealth of Independent States,0.6467078,-58.944046
Commonwealth of Independent States,4.4582934,18.875065
Commonwealth of Independent States,-58.46274,-4.9722905
Commonwealth of Independent States,-1.7742778,51.00449
Commonwealth of Independent States,28.382004,-33.322662
Commonwealth of Independent States,17.600168,-2.473426
Western Europe,50.73767,15.185789
Western Europe,-21.026377,-10.175189
Western Europe,-17.772663,6.6749873
Western Europe,-47.71613,24.250319
Western Europe,-3.786871,-23.243849
Western Europe,-26.74668,-42.562824
Western Europe,28.968515,32.27066
Western Europe,6.1278067,-56.32159
Western Europe,0.6152037,12.765544
Western Europe,-52.187256,-2.6335807
Western Europe,-1.8669211,43.618324
Western Europe,32.254974,-27.861471
Western Europe,19.784552,-5.4422326
Western Europe,60.896954,-8.874001
Sub-Saharan Africa,36.22791,5.6576767
Sub-Saharan Africa,-20.929031,16.144363
Sub-Saharan Africa,0.65333724,-32.08363
Sub-Saharan Africa,-36.842075,-39.791656
Sub-Saharan Africa,28.577139,43.370632
Sub-Saharan Africa,-0.8407473,-65.26373
Sub-Saharan Africa,12.016544,20.354197
Sub-Saharan Africa,-65.78801,-1.9340935
Sub-Saharan Africa,5.4718556,55.310513
Sub-Saharan Africa,32.09378,-39.432117
Sub-Saharan Africa,8.3119135,-6.3611593
Sub-Saharan Africa,66.970345,-4.5347376
Latin America and Caribbean,40.108116,9.670739
Latin America and Caribbean,-25.4494,-11.475638
Latin America and Caribbean,-18.8953,11.105646
Latin America and Caribbean,-27.588287,46.090034
Latin America and Caribbean,-44.200706,22.553951
Latin America and Caribbean,-3.4831374,-27.596804
Latin America and Caribbean,-29.953451,-41.678215
Latin America and Caribbean,29.086939,36.74649
Latin America and Caribbean,3.337711,-60.79095
Latin America and Caribbean,5.908728,15.3910675
Latin America and Caribbean,-58.66484,-1.2723324
Latin America and Caribbean,1.334542,50.24658
Latin America and Caribbean,33.487576,-32.722027
Latin America and Caribbean,15.189513,-7.0359874
Latin America and Caribbean,65.47998,-7.643529
Central and Eastern Europe,-26.614487,-14.827199
Central and Eastern Europe,-22.594994,50.31821
Central and Eastern Europe,-39.46233,24.43614
Central and Eastern Europe,3.6504407,-28.226257
Central and Eastern Europe,-32.04557,-35.690414
Central and Eastern Europe,33.471306,39.5947
Central and Eastern Europe,-2.5078871,-59.397034
Central and Eastern Europe,5.982949,20.360157
Central and Eastern Europe,-59.379707,-5.8722177
Central and Eastern Europe,-1.688517,52.3548
Central and Eastern Europe,30.015608,-33.07811
