regional_indicator,embedding_x,embedding_y
Western Europe,-7.2873526,-11.732775
Western Europe,-7.7192144,-13.4013815
Western Europe,-8.876007,-13.324313
Western Europe,-8.070347,-13.666537
Western Europe,-8.044872,-13.484544
Western Europe,-8.279734,-13.500343
Western Europe,-7.655758,-13.348086
Western Europe,-7.5276146,-12.982765
North America and ANZ,-8.701079,-13.158573
Western Europe,-8.191051,-13.013308
North America and ANZ,-9.000859,-13.1627035
Middle East and North Africa,-8.480407,-12.469661
Western Europe,-7.632545,-12.807589
North America and ANZ,-8.818259,-12.946203
Western Europe,-7.593231,-13.077757
Latin America and Caribbean,1.1827866,-5.023056
Western Europe,-7.952003,-12.889156
Central and Eastern Europe,-5.406644,-9.323033
North America and ANZ,-3.8448663,-6.622378
Western Europe,-7.253337,-11.738675
Western Europe,-7.6046143,-11.837203
Middle East and North Africa,-3.4569204,-6.125841
Western Europe,-7.940089,-12.777762
East Asia,-0.2323887,-3.4249766
Middle East and North Africa,-3.1240773,-5.0586
Middle East and North Africa,0.76125866,-4.750862
Western Europe,-7.904994,-11.416638
Western Europe,-7.827731,-11.433399
Central and Eastern Europe,-4.3183684,-9.712801
Latin America and Caribbean,-1.8235399,-4.844541
Latin America and Caribbean,-3.1782851,-9.058468
Southeast Asia,-9.164984,-12.580117
Central and Eastern Europe,-5.5469885,-6.542365
Central and Eastern Europe,-6.0386815,-9.283968
Latin America and Caribbean,0.1092486,-3.0890288
Latin America and Caribbean,0.8633109,-4.364631
Latin America and Caribbean,0.381853,-5.291232
Central and Eastern Europe,-4.1392217,-9.148422
Western Europe,-8.593599,-11.984819
Central and Eastern Europe,-4.0265636,-9.556805
Latin America and Caribbean,1.2656409,-4.674243
Commonwealth of Independent States,-3.373288,-4.8435287
Latin America and Caribbean,-1.4372642,-3.4917986
Central and Eastern Europe,0.50347483,-3.687737
Commonwealth of Independent States,-4.3877254,-9.421374
Central and Eastern Europe,-6.159163,-8.259423
Middle East and North Africa,0.5446961,-4.582621
Central and Eastern Europe,-1.4409436,-3.4492283
Latin America and Caribbean,0.6710239,-4.3667274
Sub-Saharan Africa,-2.9237285,-5.9848776
Central and Eastern Europe,-3.9064429,-9.085807
Latin America and Caribbean,0.70499516,-3.372072
Central and Eastern Europe,-5.1727576,-9.115695
Southeast Asia,-3.8799186,-6.237345
Latin America and Caribbean,-1.230467,-2.9497797
East Asia,-8.451874,-11.195248
Latin America and Caribbean,0.65906584,-3.2710652
Western Europe,-7.399195,-10.763672
Latin America and Caribbean,-2.543194,-5.2233796
Central and Eastern Europe,-6.084912,-9.230896
Southeast Asia,10.182176,9.733821
East Asia,-8.011339,-11.12761
