regional_indicator,embedding_x,embedding_y
Western Europe,-9.514174,7.4865947
Western Europe,-9.27126,7.8897247
Western Europe,-8.856254,7.5499525
Western Europe,-6.6921325,7.812659
Western Europe,-8.129739,8.378845
Western Europe,-8.738131,8.098712
Western Europe,-8.8393755,8.178155
Western Europe,-8.604511,6.9872837
North America and ANZ,-8.604556,8.504174
Western Europe,-7.692501,7.319488
North America and ANZ,-7.652071,8.0346365
Middle East and North Africa,-4.8723187,6.348885
Western Europe,-7.77215,7.0147376
North America and ANZ,-7.9129868,7.7244062
Western Europe,-8.309905,7.533492
Latin America and Caribbean,-5.2121253,2.841129
Western Europe,-7.3723116,8.321624
Central and Eastern Europe,-4.6141686,2.4994023
North America and ANZ,-5.882952,6.7528095
Western Europe,-4.551687,5.2283945
Western Europe,-5.0859256,5.288815
Middle East and North Africa,-6.1798735,6.5910897
Western Europe,-6.5015426,7.2055707
East Asia,-3.9631236,4.9785767
Middle East and North Africa,-6.5264254,6.4807305
Middle East and North Africa,-4.215051,3.8746104
Western Europe,-3.9863567,5.6764402
Western Europe,-2.7658966,5.5602427
Central and Eastern Europe,-5.1433287,3.147927
Latin America and Caribbean,1.0490578,2.7087264
Latin America and Caribbean,-5.6900587,4.2872114
Southeast Asia,-9.677322,8.382054
Central and Eastern Europe,2.8079684,5.1845093
Central and Eastern Europe,-3.241036,1.7922384
Latin America and Caribbean,-1.2104334,3.3887556
Latin America and Caribbean,-1.5402601,2.6246774
Latin America and Caribbean,-0.48290282,2.831591
Central and Eastern Europe,-3.531065,1.728713
Western Europe,-2.457793,6.0750856
Central and Eastern Europe,-5.9327254,4.518542
Latin America and Caribbean,-3.4938335,2.8322554
Commonwealth of Independent States,2.8085113,6.3329616
Latin America and Caribbean,-1.6593988,4.49583
Central and Eastern Europe,-3.6949146,3.4194565
Commonwealth of Independent States,-2.6612737,3.6861668
Central and Eastern Europe,-2.2610056,2.3735688
Middle East and North Africa,-3.6632423,3.904072
Central and Eastern Europe,-0.8989616,4.133045
Latin America and Caribbean,0.9889979,1.5716485
Sub-Saharan Africa,-2.022918,3.494616
Central and Eastern Europe,-2.8765485,0.87187606
Latin America and Caribbean,-0.9280688,2.5592828
Central and Eastern Europe,-3.1574578,1.3301784
Southeast Asia,2.829399,5.3666363
Latin America and Caribbean,1.7786831,2.889672
East Asia,-4.602665,4.8582697
Latin America and Caribbean,-2.606103,2.5905175
Western Europe,-3.983978,2.5571294
Latin America and Caribbean,1.8911878,3.4158437
Central and Eastern Europe,-2.8259878,1.6502529
Southeast Asia,1.144916,2.066989
East Asia,-2.4830973,6.3199267
Latin America and Caribbean,-0.78820467,2.3575466
Central and Eastern Europe,3.3524277,3.6109524
Commonwealth of Independent States,-0.046918817,3.086962
Latin America and Caribbean,-0.30936998,2.3164244
Commonwealth of Independent States,2.2051046,4.3907924
Western Europe,-0.6775139,-2.0866685
Latin America and Caribbean,0.9740548,2.3569276
East Asia,3.7976105,3.6050522
Latin America and Caribbean,0.9706465,4.028984
Central and Eastern Europe,-0.99153,4.4679313
Latin America and Caribbean,-0.20336458,1.4068826
Western Europe,-2.943386,6.9232607
Commonwealth of Independent States,-1.1011305,-0.88394684
Commonwealth of Independent States,-1.9802094,0.5265391
East Asia,-3.315576,7.495324
Commonwealth of Independent States,2.0339315,1.6906598
Southeast Asia,0.46879476,2.2435126
Middle East and North Africa,1.4686941,0.29754204
Southeast Asia,1.5563365,5.02549
Southeast Asia,5.1967025,4.959592
Sub-Saharan Africa,8.987257,-3.6491876
East Asia,-0.12943353,1.5045615
Sub-Saharan Africa,9.323289,-3.569038
Commonwealth of Independent States,0.86740696,0.43389818
South Asia,7.018527,0.48485774
Central and Eastern Europe,-1.9676582,1.2202187
South Asia,0.33453414,4.5667596
Commonwealth of Independent States,0.7994354,0.09140582
Sub-Saharan Africa,8.967547,-2.8690197
Sub-Saharan Africa,8.40597,-3.0070887
Central and Eastern Europe,3.1547909,0.98050755
Central and Eastern Europe,3.355112,2.2080755
Sub-Saharan Africa,7.7041817,-3.0342178
Sub-Saharan Africa,10.207287,-2.6105034
Commonwealth of Independent States,3.448922,5.2501965
Sub-Saharan Africa,8.914963,-5.0620627
Sub-Saharan Africa,9.948535,-4.4597654
Southeast Asia,6.4216967,-3.341854
South Asia,5.376762,-3.1353214
Sub-Saharan Africa,9.659114,-3.430036
Sub-Saharan Africa,5.139696,-0.13910846
Middle East and North Africa,0.454635,-2.293077
South Asia,8.468809,-3.489429
Middle East and North Africa,3.3464813,-2.0313385
Latin America and Caribbean,1.2289304,-2.0705054
Commonwealth of Independent States,3.0651612,-1.2090327
Middle East and North Africa,1.1586884,-2.7428176
Commonwealth of Independent States,3.635779,2.4036818
Middle East and North Africa,4.971406,-1.4551299
Sub-Saharan Africa,4.381461,-0.727188
Sub-Saharan Africa,9.707408,-3.0351102
Southeast Asia,5.7779493,-3.2856162
Sub-Saharan Africa,10.155489,-1.6202803
Sub-Saharan Africa,8.465097,-2.3198614
Sub-Saharan Africa,9.438895,-2.5651429
